campaign_id,campaign_name,summary_date,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_16,Super campaign 16,2022-07-09,3627398,66206,124,162.76260000000002,0.01825165035653656,1.312601612903226
campaign_16,Super campaign 16,2022-07-10,3613864,61002,122,162.79900000000004,0.01687999327036103,1.3344180327868855
campaign_16,Super campaign 16,2022-07-11,3243704,62674,150,158.50314999999995,0.019321738358370553,1.0566876666666662
campaign_16,Super campaign 16,2022-07-12,3234936,54536,144,148.73755,0.01685844789510519,1.0328996527777778
campaign_16,Super campaign 16,2022-07-13,3245200,69482,142,157.71729999999994,0.0214106988783434,1.110685211267605
campaign_16,Super campaign 16,2022-07-14,3042126,76614,142,164.41555,0.02518436120002919,1.1578559859154929
campaign_16,Super campaign 16,2022-07-15,3108724,79614,170,164.8192,0.025609864368789252,0.969524705882353
campaign_16,Super campaign 16,2022-07-16,3165604,83344,154,166.00805000000005,0.026327993014919112,1.077974350649351
campaign_16,Super campaign 16,2022-07-17,3428582,76564,166,173.37059999999997,0.022331097812448412,1.044401204819277
campaign_16,Super campaign 16,2022-07-18,2846278,87068,208,153.02299999999997,0.03059012506859836,0.7356874999999998
campaign_16,Super campaign 16,2022-07-19,2541428,83232,204,153.25440000000003,0.03275009168074012,0.7512470588235296
campaign_16,Super campaign 16,2022-07-20,1310036,38676,172,89.43284999999999,0.029522852807098432,0.519958430232558
campaign_16,Super campaign 16,2022-07-21,0,2,124,0.0,,0.0
campaign_16,Super campaign 16,2022-07-22,0,0,100,0.0,,0.0
campaign_16,Super campaign 16,2022-07-23,0,0,82,0.0,,0.0
campaign_16,Super campaign 16,2022-07-24,0,0,62,0.0,,0.0
campaign_16,Super campaign 16,2022-07-25,794362,12778,56,67.22885000000001,0.01608586513453564,1.2005151785714288
campaign_16,Super campaign 16,2022-07-26,1628010,32918,84,168.92395000000002,0.020219777519794105,2.010999404761905
campaign_16,Super campaign 16,2022-07-27,1489662,31710,72,168.19985000000003,0.02128670799147726,2.3361090277777783
campaign_16,Super campaign 16,2022-07-28,1476348,30706,88,173.56689999999998,0.020798619295721604,1.9723511363636361
campaign_16,Super campaign 16,2022-07-29,1186670,33272,86,183.39424999999997,0.028038123488417166,2.132491279069767
campaign_16,Super campaign 16,2022-07-30,1309234,36508,110,212.53959999999998,0.02788500756931152,1.9321781818181816
campaign_16,Super campaign 16,2022-07-31,1086188,34170,78,164.58974999999998,0.031458642518606354,2.1101249999999996
campaign_4,Super campaign 4,2022-06-03,0,0,4,0.0,,0.0
campaign_4,Super campaign 4,2022-06-08,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-06-16,0,0,4,0.0,,0.0
campaign_4,Super campaign 4,2022-06-18,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-06-19,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-06-22,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-07-12,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-07-14,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-07-23,0,0,2,0.0,,0.0
